Area,Bedrooms,Bathrooms,Floor,AgeOfProperty,Furnishing,Parking,City,Rent
432,5,1,8,6,Unfurnished,No,Delhi,55066
2833,2,4,11,13,Unfurnished,Yes,Pune,93745
513,4,4,2,9,Furnished,Yes,Hyderabad,59136
1716,4,3,10,11,Semi-Furnished,No,Ahmedabad,60749
1239,4,3,8,3,Furnished,No,Ahmedabad,56169
574,1,2,20,0,Unfurnished,No,Hyderabad,32997
2551,1,3,9,1,Semi-Furnished,Yes,Mumbai,135286
735,2,4,1,10,Semi-Furnished,No,Pune,40521
955,5,3,10,6,Furnished,Yes,Ahmedabad,55819
2698,2,4,16,10,Furnished,No,Ahmedabad,78576
2842,1,4,7,5,Semi-Furnished,No,Mumbai,145081
2395,4,4,20,2,Furnished,No,Bangalore,131652
2842,4,3,8,6,Semi-Furnished,Yes,Pune,106722
623,5,2,9,8,Semi-Furnished,No,Hyderabad,54431
684,1,1,8,8,Semi-Furnished,No,Mumbai,45263
1964,4,4,12,7,Semi-Furnished,No,Chennai,81104
1840,2,2,9,12,Furnished,Yes,Hyderabad,76966
1993,1,1,5,8,Furnished,Yes,Pune,62706
2446,5,1,2,10,Furnished,No,Ahmedabad,77920
2932,3,4,3,7,Furnished,Yes,Ahmedabad,89409
774,3,1,10,14,Semi-Furnished,Yes,Mumbai,59983
1025,5,4,18,10,Semi-Furnished,Yes,Chennai,69034
491,2,3,9,14,Semi-Furnished,No,Chennai,32933
1809,2,3,12,14,Semi-Furnished,No,Pune,68286
478,5,3,17,9,Unfurnished,No,Hyderabad,57005
1745,4,4,16,13,Furnished,Yes,Hyderabad,93573
615,5,1,2,13,Semi-Furnished,No,Chennai,44664
2545,4,4,18,6,Unfurnished,Yes,Hyderabad,113290
431,3,3,10,3,Semi-Furnished,Yes,Chennai,39645
782,4,2,20,13,Semi-Furnished,Yes,Ahmedabad,41022
1456,1,3,10,5,Semi-Furnished,Yes,Delhi,73710
2467,5,2,6,1,Semi-Furnished,Yes,Hyderabad,108288
2070,3,4,1,3,Furnished,Yes,Bangalore,105815
1070,4,3,14,5,Furnished,Yes,Ahmedabad,56720
912,4,2,3,10,Unfurnished,No,Pune,47512
2265,5,2,18,9,Furnished,No,Mumbai,150998
487,5,1,15,10,Furnished,No,Ahmedabad,40989
1765,1,4,19,7,Unfurnished,No,Bangalore,82011
1398,4,3,10,11,Furnished,No,Pune,69968
681,5,3,17,7,Semi-Furnished,Yes,Ahmedabad,49266
1856,2,1,17,4,Unfurnished,Yes,Pune,67792
2529,2,2,8,13,Furnished,No,Bangalore,99173
2307,3,4,10,15,Furnished,No,Mumbai,138144
788,4,4,15,15,Furnished,Yes,Pune,63546
1882,5,2,18,2,Semi-Furnished,No,Chennai,81385
965,1,4,1,13,Unfurnished,No,Bangalore,45895
2071,2,4,16,12,Furnished,Yes,Bangalore,99606
2894,4,2,3,2,Semi-Furnished,No,Delhi,137177
3000,1,2,3,3,Furnished,No,Pune,94112
2513,5,2,16,12,Furnished,Yes,Pune,103087
1336,3,1,2,0,Semi-Furnished,No,Ahmedabad,48587
991,4,2,16,1,Furnished,No,Chennai,58091
1612,5,3,3,7,Semi-Furnished,No,Chennai,76343
1750,2,4,9,5,Semi-Furnished,Yes,Delhi,95100
2117,5,2,12,7,Unfurnished,Yes,Pune,89243
492,3,3,2,3,Furnished,Yes,Pune,44229
1622,3,2,1,3,Unfurnished,No,Hyderabad,68864
2209,2,3,19,6,Furnished,No,Pune,86587
2780,4,2,20,4,Unfurnished,No,Mumbai,163663
2896,1,2,17,8,Unfurnished,No,Pune,87757
1973,3,4,6,2,Semi-Furnished,Yes,Ahmedabad,69327
943,1,2,7,12,Semi-Furnished,No,Ahmedabad,30928
1074,5,4,19,11,Unfurnished,No,Bangalore,86935
2810,1,3,19,9,Furnished,No,Hyderabad,99140
2758,5,3,7,14,Semi-Furnished,Yes,Chennai,102977
420,5,2,6,1,Unfurnished,No,Pune,44546
1670,1,3,18,11,Semi-Furnished,Yes,Delhi,78255
1504,4,3,11,1,Unfurnished,Yes,Hyderabad,82445
1953,1,4,7,11,Furnished,No,Hyderabad,73977
853,1,3,19,11,Furnished,Yes,Delhi,56464
1905,2,2,13,6,Furnished,No,Mumbai,112868
1046,5,1,17,5,Furnished,No,Bangalore,81476
1544,1,3,15,15,Semi-Furnished,Yes,Mumbai,86992
2250,5,2,5,2,Furnished,No,Bangalore,116639
2033,4,2,5,15,Unfurnished,No,Pune,73380
2064,3,3,11,11,Furnished,Yes,Chennai,83122
2099,4,4,16,1,Semi-Furnished,No,Mumbai,149615
2067,3,1,10,13,Semi-Furnished,No,Delhi,94309
1065,1,4,10,1,Furnished,No,Delhi,67587
807,1,2,5,9,Furnished,No,Chennai,32065
2804,3,2,9,5,Furnished,Yes,Pune,101409
2390,2,1,11,5,Semi-Furnished,No,Delhi,103178
680,1,1,15,6,Furnished,Yes,Mumbai,50837
1665,5,2,5,11,Unfurnished,No,Hyderabad,81541
2895,5,1,9,10,Semi-Furnished,Yes,Delhi,136853
1213,1,2,15,13,Semi-Furnished,No,Pune,43612
820,1,2,20,12,Furnished,Yes,Chennai,40372
2988,2,1,5,1,Furnished,No,Delhi,122770
696,5,2,1,10,Unfurnished,Yes,Bangalore,63638
1768,3,2,13,10,Semi-Furnished,Yes,Bangalore,85227
1402,4,4,1,14,Furnished,No,Bangalore,87759
872,4,2,2,4,Furnished,Yes,Mumbai,88879
2441,4,4,14,9,Furnished,Yes,Delhi,131855
1596,3,1,4,8,Furnished,No,Ahmedabad,53493
1962,5,2,5,7,Semi-Furnished,Yes,Pune,89640
1556,4,4,9,8,Unfurnished,No,Pune,73414
455,3,4,10,11,Unfurnished,No,Pune,40604
2468,2,1,9,4,Unfurnished,No,Bangalore,96045
2566,2,2,7,10,Semi-Furnished,Yes,Delhi,109586
1196,1,1,3,8,Unfurnished,Yes,Delhi,48668
2938,3,3,4,2,Unfurnished,No,Ahmedabad,80346
2610,1,1,2,6,Unfurnished,Yes,Mumbai,117092
1096,4,1,12,3,Furnished,Yes,Ahmedabad,54475
1038,2,1,17,11,Unfurnished,No,Bangalore,51187
2714,4,3,7,9,Unfurnished,Yes,Delhi,132404
2371,5,3,13,12,Unfurnished,No,Mumbai,155084
809,4,2,6,0,Semi-Furnished,Yes,Chennai,50499
1095,2,1,11,7,Unfurnished,Yes,Chennai,41374
1415,2,1,2,7,Semi-Furnished,No,Chennai,49002
2569,3,2,14,6,Unfurnished,Yes,Hyderabad,100131
2860,4,2,15,8,Unfurnished,No,Mumbai,163315
911,5,2,6,7,Furnished,No,Mumbai,92150
2680,3,1,12,12,Unfurnished,No,Mumbai,134968
730,4,2,10,11,Furnished,No,Mumbai,77155
1761,1,1,20,5,Unfurnished,No,Delhi,72605
961,1,2,7,9,Furnished,No,Chennai,38822
2601,1,3,14,5,Semi-Furnished,Yes,Pune,89693
2234,5,2,11,7,Furnished,No,Ahmedabad,79904
580,5,3,10,7,Furnished,No,Ahmedabad,48484
581,1,1,18,5,Unfurnished,No,Bangalore,33279
2095,1,1,17,0,Furnished,No,Hyderabad,75103
1337,3,1,7,13,Furnished,No,Ahmedabad,46823
893,1,4,20,0,Furnished,No,Ahmedabad,46109
1708,4,3,8,11,Semi-Furnished,No,Chennai,69765
460,5,2,7,7,Semi-Furnished,No,Bangalore,61373
1386,4,3,10,0,Semi-Furnished,Yes,Delhi,94074
602,1,1,19,4,Unfurnished,Yes,Mumbai,48325
2495,4,1,3,14,Furnished,Yes,Pune,89594
571,5,1,8,9,Unfurnished,Yes,Bangalore,55094
2770,4,2,13,4,Unfurnished,No,Bangalore,122120
2700,5,4,5,15,Unfurnished,Yes,Hyderabad,112957
835,4,1,1,10,Furnished,No,Delhi,62359
2632,2,3,13,14,Semi-Furnished,Yes,Mumbai,138330
1816,2,3,5,8,Unfurnished,Yes,Mumbai,105523
1372,5,1,3,14,Unfurnished,Yes,Mumbai,100489
1579,3,4,2,1,Unfurnished,No,Pune,69508
1102,5,1,13,8,Unfurnished,No,Mumbai,94924
1487,1,4,10,4,Semi-Furnished,No,Mumbai,91638
857,2,4,15,11,Furnished,Yes,Pune,56520
2577,3,1,7,7,Furnished,Yes,Mumbai,140894
1007,3,1,9,3,Semi-Furnished,Yes,Chennai,47949
2333,4,3,7,4,Semi-Furnished,Yes,Chennai,92616
1010,4,3,15,0,Unfurnished,No,Chennai,57541
2047,3,2,10,11,Semi-Furnished,Yes,Delhi,98233
2880,5,1,11,1,Semi-Furnished,No,Chennai,102868
2637,3,2,13,4,Semi-Furnished,No,Pune,95914
2797,2,4,18,1,Semi-Furnished,No,Ahmedabad,81445
719,1,3,2,4,Furnished,Yes,Hyderabad,42075
972,5,2,4,11,Furnished,Yes,Ahmedabad,52536
667,4,3,19,2,Furnished,Yes,Ahmedabad,47615
1084,1,4,10,7,Unfurnished,Yes,Bangalore,57241
2468,4,2,19,1,Unfurnished,No,Mumbai,154058
1457,3,4,11,15,Unfurnished,No,Hyderabad,65942
1542,4,1,17,6,Unfurnished,No,Ahmedabad,54550
457,3,2,12,8,Furnished,No,Ahmedabad,31214
576,5,4,15,7,Semi-Furnished,No,Ahmedabad,47631
2293,1,3,15,7,Furnished,Yes,Delhi,106235
718,3,1,2,9,Furnished,Yes,Mumbai,61827
1260,4,1,11,0,Furnished,No,Hyderabad,71627
2689,1,3,1,12,Semi-Furnished,Yes,Delhi,106599
745,4,4,2,2,Furnished,No,Ahmedabad,46871
1115,3,1,16,4,Semi-Furnished,Yes,Chennai,52407
432,3,4,4,12,Semi-Furnished,Yes,Bangalore,53424
2362,3,1,10,12,Semi-Furnished,No,Pune,80879
575,4,1,7,11,Semi-Furnished,Yes,Pune,41879
793,2,1,19,15,Semi-Furnished,Yes,Mumbai,57094
1895,4,3,9,1,Unfurnished,No,Pune,85575
1388,2,3,6,10,Furnished,No,Chennai,57677
523,4,4,18,14,Semi-Furnished,No,Bangalore,63409
1262,1,4,9,12,Furnished,No,Hyderabad,55642
2729,1,3,5,13,Furnished,No,Ahmedabad,66595
1100,5,2,14,3,Furnished,No,Ahmedabad,58472
2109,3,2,6,0,Furnished,Yes,Bangalore,106164
1099,4,4,18,7,Unfurnished,Yes,Chennai,64989
455,1,1,12,4,Semi-Furnished,No,Hyderabad,23969
2022,1,4,3,11,Unfurnished,No,Delhi,88246
512,3,4,16,11,Unfurnished,No,Hyderabad,47571
863,1,1,11,12,Unfurnished,No,Pune,29391
2548,2,3,11,7,Unfurnished,No,Delhi,108618
2699,3,3,8,13,Semi-Furnished,Yes,Delhi,122898
2871,5,4,20,12,Unfurnished,No,Bangalore,138607
768,5,2,13,9,Furnished,No,Delhi,72787
1980,4,4,12,13,Semi-Furnished,No,Mumbai,135732
2126,3,1,20,13,Unfurnished,Yes,Ahmedabad,58231
1386,3,2,5,0,Unfurnished,Yes,Chennai,58734
1415,1,2,14,6,Unfurnished,Yes,Delhi,66373
2468,4,2,2,2,Furnished,No,Delhi,123242
2352,1,3,11,9,Furnished,No,Ahmedabad,65541
972,4,2,14,8,Semi-Furnished,No,Chennai,50607
1633,5,1,18,5,Unfurnished,No,Hyderabad,82285
1799,3,2,5,9,Unfurnished,No,Ahmedabad,50830
828,1,3,4,8,Semi-Furnished,No,Bangalore,43099
479,4,4,10,1,Furnished,No,Bangalore,67556
2965,3,1,15,3,Unfurnished,No,Pune,99010
2015,3,3,2,1,Semi-Furnished,Yes,Ahmedabad,64729
1385,4,2,11,9,Semi-Furnished,Yes,Delhi,84276
746,2,1,20,11,Unfurnished,No,Delhi,42609
2777,1,3,8,8,Semi-Furnished,Yes,Ahmedabad,71606
2209,1,3,8,14,Semi-Furnished,Yes,Pune,72234
2851,4,3,5,12,Semi-Furnished,Yes,Hyderabad,112685
2838,3,3,18,0,Semi-Furnished,No,Delhi,138447
2410,3,2,6,9,Unfurnished,Yes,Chennai,81178
2019,1,2,3,7,Furnished,Yes,Ahmedabad,53820
2210,2,3,2,1,Furnished,No,Bangalore,101541
1438,3,3,13,12,Semi-Furnished,No,Pune,65936
989,3,4,7,14,Semi-Furnished,No,Bangalore,63651
1934,3,4,5,6,Semi-Furnished,No,Mumbai,126838
1058,4,4,8,15,Unfurnished,No,Pune,58426
758,3,1,19,12,Unfurnished,Yes,Delhi,52812
2538,1,3,14,10,Furnished,Yes,Bangalore,103733
1557,3,1,14,14,Semi-Furnished,Yes,Ahmedabad,50888
2993,1,2,2,12,Semi-Furnished,Yes,Chennai,81239
537,2,2,19,2,Semi-Furnished,Yes,Chennai,40126
1325,1,1,4,13,Semi-Furnished,Yes,Chennai,39971
2089,3,3,19,14,Unfurnished,Yes,Bangalore,97529
540,5,3,11,3,Semi-Furnished,No,Bangalore,65749
438,4,2,13,8,Semi-Furnished,No,Hyderabad,46605
1237,1,3,18,5,Unfurnished,No,Delhi,62640
2040,5,3,15,15,Unfurnished,No,Chennai,79016
2314,4,4,16,13,Furnished,Yes,Mumbai,153442
986,5,1,17,2,Furnished,No,Delhi,81032
664,3,3,6,2,Furnished,No,Delhi,61897
2187,3,3,10,7,Semi-Furnished,No,Ahmedabad,67496
2159,1,3,4,9,Furnished,Yes,Ahmedabad,61902
2666,1,2,10,5,Unfurnished,No,Ahmedabad,65876
1343,4,2,14,12,Semi-Furnished,No,Delhi,81231
2292,5,2,6,15,Furnished,Yes,Chennai,90421
1884,5,2,11,11,Semi-Furnished,Yes,Pune,85126
989,1,1,20,3,Semi-Furnished,Yes,Mumbai,63087
514,4,2,13,11,Unfurnished,Yes,Pune,45291
1940,5,1,19,13,Semi-Furnished,Yes,Ahmedabad,68814
2380,5,3,9,15,Semi-Furnished,Yes,Chennai,91601
2921,1,4,12,3,Semi-Furnished,No,Ahmedabad,77499
2844,2,3,8,6,Semi-Furnished,No,Pune,93324
2690,1,4,12,1,Furnished,No,Delhi,120092
2115,5,3,11,14,Furnished,Yes,Mumbai,148560
1521,5,3,5,6,Semi-Furnished,Yes,Hyderabad,84985
1191,2,4,1,12,Semi-Furnished,Yes,Chennai,54225
2685,5,4,20,4,Furnished,No,Bangalore,140980
2405,1,2,13,9,Furnished,No,Ahmedabad,65283
2449,5,1,3,10,Furnished,Yes,Bangalore,115220
2043,5,1,2,12,Unfurnished,Yes,Pune,83145
989,4,3,5,5,Unfurnished,Yes,Bangalore,73513
1447,4,1,1,11,Unfurnished,Yes,Chennai,57736
1735,5,2,4,2,Unfurnished,No,Delhi,102391
2961,3,3,14,7,Furnished,No,Pune,109004
1043,4,4,3,15,Semi-Furnished,Yes,Delhi,78910
2600,3,4,2,14,Semi-Furnished,Yes,Delhi,124076
2115,4,2,18,14,Semi-Furnished,Yes,Delhi,108886
1502,1,4,19,6,Furnished,Yes,Mumbai,105573
597,2,3,1,4,Semi-Furnished,Yes,Bangalore,46314
1083,5,1,17,9,Furnished,No,Ahmedabad,55656
2883,2,3,18,1,Unfurnished,No,Delhi,127929
2093,4,3,4,2,Unfurnished,Yes,Mumbai,136798
1248,1,1,12,11,Semi-Furnished,No,Bangalore,51744
2426,3,1,9,14,Semi-Furnished,Yes,Bangalore,99308
1550,1,3,16,11,Furnished,Yes,Ahmedabad,51273
1914,5,1,8,7,Furnished,Yes,Chennai,83649
2394,1,4,18,1,Unfurnished,Yes,Pune,85390
887,2,1,4,3,Semi-Furnished,No,Hyderabad,40187
2564,3,2,14,14,Furnished,No,Delhi,115000
950,4,3,7,5,Unfurnished,No,Chennai,52333
804,1,1,7,12,Unfurnished,Yes,Bangalore,31106
1082,5,2,8,2,Furnished,Yes,Bangalore,84320
2443,3,2,8,12,Furnished,No,Chennai,82148
2890,2,4,11,6,Furnished,No,Mumbai,158515
2063,3,4,16,1,Furnished,Yes,Hyderabad,103879
2147,4,1,1,7,Furnished,Yes,Bangalore,102966
1211,4,2,10,14,Semi-Furnished,No,Chennai,52788
2871,2,1,5,10,Semi-Furnished,Yes,Delhi,114326
2002,3,1,12,15,Semi-Furnished,No,Bangalore,82469
1898,5,3,18,10,Unfurnished,No,Bangalore,104041
488,4,3,3,6,Unfurnished,Yes,Bangalore,57100
1296,3,4,7,3,Semi-Furnished,No,Bangalore,82992
1783,2,2,12,10,Semi-Furnished,No,Chennai,63237
2691,4,4,1,14,Furnished,Yes,Ahmedabad,87878
1219,5,3,13,1,Semi-Furnished,Yes,Mumbai,121699
2321,1,1,3,6,Furnished,No,Hyderabad,73832
2120,3,2,7,13,Unfurnished,Yes,Ahmedabad,57599
1215,5,1,11,7,Furnished,Yes,Mumbai,102877
2426,1,1,7,9,Furnished,No,Mumbai,110728
1248,4,4,4,7,Unfurnished,No,Mumbai,100832
1011,2,2,3,10,Unfurnished,No,Pune,40410
2704,4,1,20,8,Semi-Furnished,No,Bangalore,122390
2075,2,4,2,6,Semi-Furnished,No,Pune,76136
1666,1,2,8,3,Semi-Furnished,No,Chennai,52959
2403,3,3,19,14,Furnished,No,Delhi,120165
1034,2,4,3,8,Semi-Furnished,Yes,Bangalore,63637
2086,3,1,8,9,Furnished,No,Ahmedabad,62369
1532,4,1,14,2,Unfurnished,Yes,Bangalore,86193
2573,3,1,2,3,Semi-Furnished,No,Delhi,113910
1680,2,4,2,10,Semi-Furnished,No,Delhi,87067
846,4,4,9,11,Unfurnished,Yes,Pune,60293
1062,5,1,3,9,Semi-Furnished,Yes,Mumbai,93278
2805,2,3,19,9,Furnished,No,Delhi,127884
2674,2,4,11,13,Furnished,No,Chennai,92021
1187,5,2,2,8,Furnished,Yes,Pune,67522
2592,1,4,15,4,Unfurnished,No,Chennai,80297
1306,4,3,8,2,Furnished,Yes,Mumbai,112726
1619,4,2,5,8,Furnished,No,Ahmedabad,59958
1893,5,4,9,3,Furnished,Yes,Pune,96017
2024,3,2,5,13,Unfurnished,Yes,Bangalore,88480
557,5,4,13,5,Unfurnished,Yes,Pune,56742
2748,4,4,7,11,Unfurnished,No,Pune,102815
1874,3,4,12,10,Unfurnished,No,Chennai,70133
